object_file,pal_start,pal_end,size,function_count
motionFileManager.o,0x001D1300,0x001D15B8,696,7
motionManager.o,0x001D15B8,0x001DD354,48540,12
motionOrientManager.o,0x001DD358,0x001E0F44,15340,16
motionViewer.o,0x001E0F48,0x001E2D60,7704,2
moveColTest.o,0x001E2D60,0x001E2FAC,588,3
multiBgaManager.o,0x001E2FB0,0x001E3340,912,6
particleEffect.o,0x001E3340,0x001E5460,8480,19
particleLayout.o,0x001E5460,0x001E54F0,144,4
rope.o,0x001E54F0,0x001E5E40,2384,7
ropeFix.o,0x001E5E40,0x001E5ED0,144,3
rotObject.o,0x001E5ED0,0x001E6628,1880,13
spider.o,0x001E6628,0x001E7904,4828,16
spiderGroupManager.o,0x001E7908,0x001E7F98,1680,7
stageMultiBgaManager.o,0x001E7F98,0x001E824C,692,4
staticBlur.o,0x001E8250,0x001EBB38,14568,17
stormTest.o,0x001EBB38,0x001EC6DC,2980,8
streamMotionManager.o,0x001EC6E0,0x001ED394,3252,13
sugiTree.o,0x001ED398,0x001ED89C,1284,5
torch.o,0x001ED8A0,0x001EE1B8,2328,12
waySystemManager.o,0x001EE1B8,0x001EE2A0,232,2
weapon.o,0x001EE2A0,0x001F03F8,8536,28
windField.o,0x001F03F8,0x001F0F00,2824,10
windManager.o,0x001F0F00,0x001F1290,912,5
wireLetter.o,0x001F1290,0x001F1618,904,5
worm.o,0x001F1618,0x001F2B34,5404,8
Basic.o,0x001F2B38,0x001F2D3C,516,10
BgAnimation.o,0x001F2D40,0x001F6618,14552,20
DisplayFont.o,0x001F6618,0x001F702C,2580,5
DisplayList.o,0x001F7030,0x001F76B0,1664,11
DmaPacket.o,0x001F76B0,0x001F77B0,256,3
EnemyInit.o,0x001F77B0,0x001F7B30,896,2
gobj_cam_dl.o,0x001F7B30,0x001F8084,1364,10
adpcm_init.o,0x001F8088,0x001F8F78,3824,30
act.o,0x001FE388,0x00200318,8080,18
act2.o,0x00200318,0x002004A0,392,2
seMail.o,0x002004A0,0x002006E8,584,2
way_kidnap.o,0x002006E8,0x00201604,3868,9
way_llf.o,0x00201608,0x00201E80,2168,25
way_tool.o,0x00201E80,0x002034F4,5748,3
deja.o,0x002034F8,0x00203DC0,2248,6
e3.o,0x00203DC0,0x00206AC4,11524,41
end.o,0x00206AC8,0x00209C18,12624,52
op.o,0x00209C18,0x0020BD68,8528,15
st00a.o,0x0020BD68,0x0020CFD4,4716,22
